============================================================
  实验: E4c 长训练 epoch=50
  模型: ConditionalAttnLSTM
  配置: lr=0.001, bs=64, epochs=50, optimizer=AdamW
============================================================

 Epoch    Train Loss    Valid Loss   Valid PPL
----------------------------------------------
     1      5.827556      5.386615      218.46
     2      5.275949      5.098272      163.74
     3      5.029946      4.879392      131.55
     4      4.852756      4.742090      114.67
     5      4.734740      4.654947      105.10
     6      4.635676      4.547072       94.36
     7      4.540432      4.480636       88.29
     8      4.476398      4.436663       84.49
     9      4.427492      4.404202       81.79
    10      4.388869      4.380888       79.91
    11      4.358495      4.363788       78.55
    12      4.329978      4.348892       77.39
    13      4.307362      4.336396       76.43
    14      4.284551      4.325576       75.61
    15      4.264988      4.317947       75.03
    16      4.247034      4.310078       74.45
    17      4.231171      4.304532       74.03
    18      4.216764      4.296085       73.41
    19      4.201819      4.290620       73.01
    20      4.190154      4.286724       72.73
    21      4.178358      4.284601       72.57
    22      4.166390      4.283350       72.48
    23      4.156719      4.278642       72.14
    24      4.146190      4.271235       71.61
    25      4.137212      4.271027       71.60
    26      4.128406      4.268800       71.44
    27      4.120238      4.266151       71.25
    28      4.113288      4.263226       71.04
    29      4.104709      4.264288       71.11
    30      4.098256      4.259738       70.79
    31      4.091247      4.262952       71.02
    32      4.085187      4.257621       70.64
    33      4.078676      4.256897       70.59
    34      4.072807      4.260461       70.84
    35      4.066668      4.256862       70.59
    36      4.060732      4.256075       70.53
    37      4.055975      4.254210       70.40
    38      4.051149      4.253219       70.33
    39      4.046918      4.252836       70.30
    40      4.042102      4.248008       69.97
    41      4.037410      4.250238       70.12
    42      4.032230      4.250557       70.14
    43      4.028780      4.249629       70.08
    44      3.982059      4.242192       69.56
    45      3.972376      4.240163       69.42
    46      3.966630      4.240683       69.46
    47      3.962716      4.239347       69.36 ★
    48      3.959371      4.242100       69.55
    49      3.956848      4.244544       69.72
    50      3.953630      4.245190       69.77
----------------------------------------------

最佳 Epoch: 47
最佳 Valid Loss: 4.239347
最佳 Valid PPL:  69.36
