指标,数值,说明
诗歌总数,56469,去重过滤后的有效诗歌数
重复诗歌数,1129,去重前发现的重复数量
空文本数,13,清洗后长度为0的诗歌
过短文本数,230,汉字字符数<5的诗歌
过长文本数,1625,长度>200字的诗歌（标记为长篇）
非汉字比例过高数,177,汉字占比<50%的诗歌
唯一字符数,8288,词表规模
出现1次的字符,1173,hapax legomena
低频字数量(≤5次),2635,低频字总数
低频字比例(%),31.79,低频字占唯一字符的比例
五言绝句(form_id=0),3863,4句，每句5字
七言绝句(form_id=1),10417,4句，每句7字
五言律诗(form_id=2),14238,8句，每句5字
七言律诗(form_id=3),7801,8句，每句7字
长篇/其他(form_id=-1),20150,非标准体裁
不同作者数,3635,唯一作者数量
前10作者占比(%),19.83,前10位高产作者占比
平均长度,63.1,平均字符长度
最短长度,6,最短诗歌长度
最长长度,2980,最长诗歌长度
长度中位数,48.0,长度中位数
简繁转换不一致率(%),48.20,简体回繁后与原文不一致的比例
